Gm#,Date,Season,Attendance
758,'9-Jun-21',2021,9162
759,'10-Jun-21',2021,9290
760,'11-Jun-21',2021,14163
761,'12-Jun-21',2021,15913
762,'13-Jun-21',2021,14093
763,'22-Jun-21',2021,13492
764,'23-Jun-21',2021,13263
765,'24-Jun-21',2021,12656
766,'26-Jun-21',2021,12422
767,'26-Jun-21',2021,13950
768,'27-Jun-21',2021,13532
769,'2-Jul-21',2021,18185
770,'3-Jul-21',2021,17230
771,'4-Jul-21',2021,15342
772,'17-Jul-21',2021,13747
773,'17-Jul-21',2021,31624
774,'18-Jul-21',2021,15854
775,'19-Jul-21',2021,13704
776,'20-Jul-21',2021,13333
777,'21-Jul-21',2021,21132
778,'22-Jul-21',2021,16033
779,'29-Jul-21',2021,15833
780,'30-Jul-21',2021,18861
781,'31-Jul-21',2021,25132
782,'1-Aug-21',2021,17134
783,'3-Aug-21',2021,15724
784,'4-Aug-21',2021,16633
785,'5-Aug-21',2021,19144
786,'13-Aug-21',2021,22107
787,'14-Aug-21',2021,32845
788,'15-Aug-21',2021,25684
789,'17-Aug-21',2021,24714
790,'18-Aug-21',2021,27282
791,'19-Aug-21',2021,20847
792,'27-Aug-21',2021,17259
793,'28-Aug-21',2021,18783
794,'29-Aug-21',2021,15956
795,'30-Aug-21',2021,13425
796,'31-Aug-21',2021,13853
797,'1-Sep-21',2021,12593
798,'2-Sep-21',2021,11623
799,'10-Sep-21',2021,18321
800,'11-Sep-21',2021,18842
801,'12-Sep-21',2021,13396
802,'14-Sep-21',2021,12433
803,'15-Sep-21',2021,11321
804,'20-Sep-21',2021,12884
805,'21-Sep-21',2021,10585
806,'24-Sep-21',2021,24877
807,'25-Sep-21',2021,16424
808,'26-Sep-21',2021,23788
809,'27-Sep-21',2021,11044
810,'8-Apr-21',2021,21765
811,'9-Apr-21',2021,21768
812,'10-Apr-21',2021,21760
813,'12-Apr-21',2021,15779
814,'13-Apr-21',2021,17080
815,'14-Apr-21',2021,14720
816,'22-Apr-21',2021,13985
817,'23-Apr-21',2021,21728
818,'24-Apr-21',2021,21820
819,'25-Apr-21',2021,21781
820,'26-Apr-21',2021,11862
821,'27-Apr-21',2021,14413
822,'28-Apr-21',2021,12707
823,'29-Apr-21',2021,14149
824,'7-May-21',2021,25410
825,'8-May-21',2021,25794
826,'9-May-21',2021,24355
827,'10-May-21',2021,13695
828,'11-May-21',2021,17350
829,'12-May-21',2021,13668
830,'13-May-21',2021,16340
831,'14-May-21',2021,24495
832,'15-May-21',2021,25858
833,'16-May-21',2021,26069
834,'25-May-21',2021,34443
835,'26-May-21',2021,30939
836,'28-May-21',2021,32045
837,'29-May-21',2021,31323
