Gm#,Date,Tm,Opp,Attendance,,,,,,,,,,,,,,,,,
219,"Tuesday, Aug 24",BAL,LAA,"8,781",,,,,,,,,,,,,,,,,
220,"Wednesday, Aug 25",BAL,LAA,"15,867",,,,,,,,,,,,,,,,,
221,"Thursday, Aug 26",BAL,LAA,"10,211",,,,,,,,,,,,,,,,,
222,"Friday, Aug 27",BAL,TBR,"7,155",,,,,,,,,,,,,,,,,
223,"Saturday, Aug 28",BAL,TBR,"11,110",,,,,,,,,,,,,,,,,
224,"Sunday, Aug 29",BAL,TBR,"8,353",,,,,,,,,,,,,,,,,
225,"Monday, Sep 6",BAL,KCR,"11,973",,,,,,,,,,,,,,,,,
226,"Tuesday, Sep 7",BAL,KCR,"4,981",,,,,,,,,,,,,,,,,
227,"Wednesday, Sep 8",BAL,KCR,"4,965",,,,,,,,,,,,,,,,,
228,"Thursday, Sep 9",BAL,KCR,"5,087",,,,,,,,,,,,,,,,,
229,"Friday, Sep 10",BAL,TOR,"11,751",,,,,,,,,,,,,,,,,
230,"Saturday, Sep 11 (1)",BAL,TOR,,,,,,,,,,,,,,,,,,
231,"Saturday, Sep 11 (2)",BAL,TOR,"10,219",,,,,,,,,,,,,,,,,
232,"Sunday, Sep 12",BAL,TOR,"8,474",,,,,,,,,,,,,,,,,
233,"Tuesday, Sep 14",BAL,NYY,"10,235",,,,,,,,,,,,,,,,,
234,"Wednesday, Sep 15",BAL,NYY,"10,402",,,,,,,,,,,,,,,,,
235,"Thursday, Sep 16",BAL,NYY,"20,164",,,,,,,,,,,,,,,,,
236,"Thursday, Sep 23",BAL,TEX,"6,328",,,,,,,,,,,,,,,,,
237,"Friday, Sep 24",BAL,TEX,"7,935",,,,,,,,,,,,,,,,,
238,"Saturday, Sep 25",BAL,TEX,"10,645",,,,,,,,,,,,,,,,,
239,"Sunday, Sep 26",BAL,TEX,"13,495",,,,,,,,,,,,,,,,,
240,"Tuesday, Sep 28",BAL,BOS,"8,098",,,,,,,,,,,,,,,,,
241,"Wednesday, Sep 29",BAL,BOS,"8,732",,,,,,,,,,,,,,,,,
242,"Thursday, Sep 30",BAL,BOS,"13,012",,,,,,,,,,,,,,,,,
243,"Friday, Apr 2",BOS,BAL,"4,452",,,,,,,,,,,,,,,,,
244,"Saturday, Apr 3",BOS,BAL,"4,571",,,,,,,,,,,,,,,,,
245,"Sunday, Apr 4",BOS,BAL,"4,458",,,,,,,,,,,,,,,,,
246,"Monday, Apr 5",BOS,TBR,"4,577",,,,,,,,,,,,,,,,,
247,"Tuesday, Apr 6",BOS,TBR,"4,682",,,,,,,,,,,,,,,,,
248,"Wednesday, Apr 7",BOS,TBR,"4,751",,,,,,,,,,,,,,,,,
249,"Saturday, Apr 17",BOS,CHW,"4,668",,,,,,,,,,,,,,,,,
